film,url,actors,director,country,language,studio,genre
Parasite,https://letterboxd.com/film/parasite-2019/,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik, Park So-dam, Lee Jung-eun, Chang Hyae-jin, Park Myung-hoon",Bong Joon Ho,South Korea,"Korean, English, German, Korean",Barunson E&A,"Thriller, Comedy, Drama"
Interstellar,https://letterboxd.com/film/interstellar/,"Matthew McConaughey, Anne Hathaway, Michael Caine, Jessica Chastain, Casey Affleck, Wes Bentley, Topher Grace, Mackenzie Foy",Christopher Nolan,"UK, USA",English,"Legendary Pictures, Syncopy, Lynda Obst Productions","Science Fiction, Drama, Adventure"
Barbie,https://letterboxd.com/film/barbie/,"Margot Robbie, Ryan Gosling, America Ferrera, Ariana Greenblatt, Issa Rae, Kate McKinnon, Alexandra Shipp, Emma Mackey",Greta Gerwig,"UK, USA",English,"LuckyChap Entertainment, Heyday Films, NB/GG Pictures, Mattel, Warner Bros. Pictures","Comedy, Adventure"
Fight Club,https://letterboxd.com/film/fight-club/,"Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Jared Leto, Zach Grenier, Holt McCallany, Eion Bailey",David Fincher,"Germany, USA",English,"Fox 2000 Pictures, Regency Enterprises, Linson Entertainment, 20th Century Fox, Taurus Film","Drama, Thriller"
La La Land,https://letterboxd.com/film/la-la-land/,"Ryan Gosling, Emma Stone, John Legend, Rosemarie DeWitt, J.K. Simmons, Amiée Conn, Terry Walters, Thom Shelton",Damien Chazelle,USA,English,"Summit Entertainment, Gilbert Films, Impostor Pictures, Marc Platt Productions","Drama, Comedy, Romance"
Everything Everywhere All at Once,https://letterboxd.com/film/everything-everywhere-all-at-once/,"Michelle Yeoh, Stephanie Hsu, Ke Huy Quan, James Hong, Jamie Lee Curtis, Tallie Medel, Jenny Slate, Harry Shum Jr.","Daniel Scheinert, Daniel Kwan",USA,"English, Cantonese, Chinese, English","IAC Films, AGBO, Ley Line Entertainment, Year of the Rat","Science Fiction, Adventure, Comedy, Action"
Whiplash,https://letterboxd.com/film/whiplash-2014/,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist, Austin Stowell, Nate Lang, Chris Mulkey, Damon Gupton",Damien Chazelle,USA,English,"Bold Films, Blumhouse Productions, Right of Way Films","Drama, Music"
Oppenheimer,https://letterboxd.com/film/oppenheimer-2023/,"Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr., Florence Pugh, Josh Hartnett, Casey Affleck, Rami Malek",Christopher Nolan,"UK, USA","English, Dutch, English","Syncopy, Universal Pictures, Atlas Entertainment, Breakheart Films, Peters Creek Entertainment","Drama, History"
Pulp Fiction,https://letterboxd.com/film/pulp-fiction/,"John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames, Harvey Keitel, Eric Stoltz, Tim Roth",Quentin Tarantino,USA,"English, English, Spanish, French","Miramax, A Band Apart, Jersey Films","Comedy, Thriller, Crime"
The Truman Show,https://letterboxd.com/film/the-truman-show/,"Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone, Holland Taylor, Ed Harris, Paul Giamatti, Brian Delate",Peter Weir,USA,"English, Japanese, Spanish, Italian, English","Paramount Pictures, Scott Rudin Productions","Comedy, Drama"
The Substance,https://letterboxd.com/film/the-substance/,"Demi Moore, Margaret Qualley, Dennis Quaid, Edward Hamilton-Clark, Gore Abrams, Oscar Lesage, Christian Erickson, Robin Greer",Coralie Fargeat,"France, UK, USA",English,"Working Title Films (GB), Blacksmith, Working Title Films (US)","Horror, Drama, Science Fiction"
Get Out,https://letterboxd.com/film/get-out-2017/,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford, Caleb Landry Jones, Marcus Henderson, Betty Gabriel, LaKeith Stanfield",Jordan Peele,USA,English,"Monkeypaw Productions, Blumhouse Productions, QC Entertainment","Horror, Mystery, Thriller"
Eternal Sunshine of the Spotless Mind,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/,"Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Elijah Wood, Tom Wilkinson, Jane Adams, David Cross",Michel Gondry,USA,English,"Focus Features, Anonymous Content, This is that","Science Fiction, Romance, Drama"
Joker,https://letterboxd.com/film/joker-2019/,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Shea Whigham, Bill Camp, Glenn Fleshler",Todd Phillips,"Canada, USA",English,"Warner Bros. Pictures, Joint Effort, Village Roadshow Pictures, Bron Studios, DC Films","Drama, Thriller, Crime"
Sinners,https://letterboxd.com/film/sinners-2025/,"Michael B. Jordan, Hailee Steinfeld, Miles Caton, Jack O'Connell, Wunmi Mosaku, Jayme Lawson, Omar Benson Miller, Delroy Lindo",Ryan Coogler,USA,"English, Chinese, English","Warner Bros. Pictures, Proximity Media, Domain Entertainment","Thriller, Action, Horror"
Dune,https://letterboxd.com/film/dune-2021/,"Timothée Chalamet, Rebecca Ferguson, Oscar Isaac, Jason Momoa, Stellan Skarsgård, Stephen McKinley Henderson, Josh Brolin, Javier Bardem",Denis Villeneuve,USA,"English, Chinese, English",Legendary Pictures,"Science Fiction, Adventure"
