film,year,url,rating
Parasite,2019,https://letterboxd.com/film/parasite-2019/,4.53
Interstellar,2014,https://letterboxd.com/film/interstellar/,4.43
Barbie,2023,https://letterboxd.com/film/barbie/,3.73
Fight Club,1999,https://letterboxd.com/film/fight-club/,4.27
La La Land,2016,https://letterboxd.com/film/la-la-land/,4.12
Everything Everywhere All at Once,2022,https://letterboxd.com/film/everything-everywhere-all-at-once/,4.26
Whiplash,2014,https://letterboxd.com/film/whiplash-2014/,4.42
Oppenheimer,2023,https://letterboxd.com/film/oppenheimer-2023/,4.17
Pulp Fiction,1994,https://letterboxd.com/film/pulp-fiction/,4.25
The Truman Show,1998,https://letterboxd.com/film/the-truman-show/,4.22
The Substance,2024,https://letterboxd.com/film/the-substance/,3.75
Get Out,2017,https://letterboxd.com/film/get-out-2017/,4.14
Eternal Sunshine of the Spotless Mind,2004,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/,4.24
Joker,2019,https://letterboxd.com/film/joker-2019/,3.84
Sinners,2025,https://letterboxd.com/film/sinners-2025/,4.12
Dune,2021,https://letterboxd.com/film/dune-2021/,3.88
Spider-Man: Into the Spider-Verse,2018,https://letterboxd.com/film/spider-man-into-the-spider-verse/,4.40
Midsommar,2019,https://letterboxd.com/film/midsommar/,3.76
The Dark Knight,2008,https://letterboxd.com/film/the-dark-knight/,4.49
The Batman,2022,https://letterboxd.com/film/the-batman/,4.01
Dead Poets Society,1989,https://letterboxd.com/film/dead-poets-society/,4.33
Inception,2010,https://letterboxd.com/film/inception/,4.22
American Psycho,2000,https://letterboxd.com/film/american-psycho/,3.79
Knives Out,2019,https://letterboxd.com/film/knives-out-2019/,3.96
10 Things I Hate About You,1999,https://letterboxd.com/film/10-things-i-hate-about-you/,4.05
Dune: Part Two,2024,https://letterboxd.com/film/dune-part-two/,4.38
Spirited Away,2001,https://letterboxd.com/film/spirited-away/,4.45
Spider-Man: Across the Spider-Verse,2023,https://letterboxd.com/film/spider-man-across-the-spider-verse/,4.41
The Wolf of Wall Street,2013,https://letterboxd.com/film/the-wolf-of-wall-street/,3.99
Superman,2025,https://letterboxd.com/film/superman-2025/,3.86
Se7en,1995,https://letterboxd.com/film/se7en/,4.36
Nosferatu,2024,https://letterboxd.com/film/nosferatu-2024/,3.68
The Grand Budapest Hotel,2014,https://letterboxd.com/film/the-grand-budapest-hotel/,4.24
Black Swan,2010,https://letterboxd.com/film/black-swan/,4.17
Challengers,2024,https://letterboxd.com/film/challengers/,3.85
Saltburn,2023,https://letterboxd.com/film/saltburn/,3.38
